Landmark_Name,Landmark_Alternate_Name,BuildType,USE_ORIG,Use_Second,Use_Tertia,Borough,Neighborhood,Address,latitude,longitude,geometry,FID,OBJECTID,Block,Lot,BBL_Code,Shape_Leng,Shape_Area,URL_IMAGE
Fire Engine Company No. 53,"",Fire Station,"Civic, fire station","","",Manhattan,"",175 East 104th Street,40.79078,-73.946236,Point,985,651,1632,29,1016320029,259.0691,2605.851,http://www1.nyc.gov/assets/lpc/images/content/designations/2284.jpg
Saint Aloysius Roman Catholic Church,"",Church,"Religious, church, Roman Catholic","","",Manhattan,Central Harlem North/Polo Grounds,209-217 West 132nd Street,40.81388,-73.945656,Point,1085,751,1938,124,1019380124,410.71426,9587.776,http://www1.nyc.gov/assets/lpc/images/content/designations/2164.jpg
West End Collegiate Church and Collegiate School,"",Church,"Religious, church","","Institutional, Private School",Manhattan,Upper West Side,West End Avenue at West 77th Street,40.783043,-73.98156,Point,1262,126,1169,1,1011690001,570.7484,19108.99,http://www1.nyc.gov/assets/lpc/images/content/designations/0287.jpg
Schermerhorn Building,also known as the 376-380 Lafayette Street Building,Store and Lofts,"Commercial, store and lofts","","",Manhattan,East Village,376-380 Lafayette Street,40.727615,-73.99378,Point,1428,292,531,7504,1005317504,387.15558,9321.557,http://www1.nyc.gov/assets/lpc/images/content/designations/0193.jpg
Reformed Dutch Church of Newtown and Fellowship Hall,"",Church,"Religious, church, Dutch Reformed","","",Queens,Elmhurst,85-15 Broadway,40.739193,-73.87743,Point,687,1155,1836,1,4018360001,563.7886,12687.95,http://www1.nyc.gov/assets/lpc/images/content/designations/0138.jpg
Japan Society Headquarters,"",Cultural Center,"Institutional, cultural center","","",Manhattan,Turtle Bay,333 East 47th Street,40.752563,-73.96826,Point,850,515,1340,16,1013400016,422.08316,11114.589,http://www1.nyc.gov/assets/lpc/images/content/designations/2420.jpg
Theater Masque,now the Golden Theater,Theater,"Commercial, theater",Theater,"",Manhattan,Theatre District,252-256 West 45th Street,40.758728,-73.987976,Point,1475,340,1016,58,1010160058,345.50174,6196.3354,http://www1.nyc.gov/assets/lpc/images/content/designations/1335.jpg
Pratt Institute Library,"",Library,"Institutional, library","","",Brooklyn,Clinton Hill,224-228 Ryerson Street,40.69086,-73.96501,Point,103,1310,1919,1,3019190001,454.97897,9650.097,http://www1.nyc.gov/assets/lpc/images/content/designations/2011.jpg
Metropolitan Museum of Art,"",Museum,"Institutional, museum","","",Manhattan,Central Park,Fifth Avenue and East 82nd Street,40.779434,-73.96343,Point,724,1192,1111,1,1011110001,3903.1936,487372.47,http://www1.nyc.gov/assets/lpc/images/content/designations/0410.jpg
Fire Engine Company No. 67,"",Fire Station,"Civic, fire station","","",Manhattan,Washington Heights,514 West 170th Street,40.841286,-73.93718,Point,1109,775,2126,35,1021260035,241.72896,2397.8232,http://www1.nyc.gov/assets/lpc/images/content/designations/2050.jpg
"Conservatory, New York Botanical Garden",now the Enid A. Haupt Conservatory,Botanical Garden,"Institutional, recreational, botanical garden","","",The Bronx,Bronx,"New York Botanical Garden, Kazimiroff Boulevard",40.863873,-73.88209,Point,621,1089,3272,1,2032720001,2409.6758,42887.832,http://www1.nyc.gov/assets/lpc/images/content/designations/0481.jpg
Kimlau War Memorial,"",Memorial,"Civic, memorial","","",Manhattan,Bowery,Chatham Square and East Broadway,40.713493,-73.99813,Point,319,0,117,100,1001170100,0.0,0.0,http://www1.nyc.gov/assets/lpc/images/content/designations/2653.jpg
Hamilton Fish Park Play Center,"",Park,"Civic, recreational, park","","",Manhattan,Lower East Side,130 Pitt Street,40.71999,-73.98146,Point,571,1038,340,1,1003400001,396.67935,5787.93,http://www1.nyc.gov/assets/lpc/images/content/designations/1264.jpg
Booth Theater,"",Theater,"Commercial, theater",Theater,"",Manhattan,Theatre District,222-232 West 45th Street,40.75838,-73.98709,Point,63,1270,1016,15,1010160015,403.53345,10041.458,http://www1.nyc.gov/assets/lpc/images/content/designations/1321.jpg
Sears Roebuck & Company Department Store,"",Department Store,"Commercial, retail, store","","",Brooklyn,"",2227-2323 Beverly Road,40.645153,-73.955414,Point,593,1060,5133,14,3051330014,959.12427,47793.42,http://www1.nyc.gov/assets/lpc/images/content/designations/2469.jpg
Green-Wood Cemetery Gate,"",Gatehouse,"Institutional, cemetery, gatehouse","","",Brooklyn,Sunset Park,5th Avenue at 25th Street,40.658104,-73.99472,Point,660,1128,902,1,3009020001,477.16373,3799.7834,http://www1.nyc.gov/assets/lpc/images/content/designations/0149.jpg
Jamaica Chamber of Commerce Building,"",Office Building,"Commercial, office building","","",Queens,Jamaica,89-31 161st Street,40.705612,-73.79917,Point,1238,102,9760,27,4097600027,380.35577,8575.599,http://www1.nyc.gov/assets/lpc/images/content/designations/2386.jpg
Hotel Gerard,now the Gerard Apartments,Hotel,"Commercial, hotel",Apartments,"",Manhattan,Theatre District,123 West 44th Street,40.756817,-73.98416,Point,1337,201,997,19,1009970019,406.17435,10308.68,http://www1.nyc.gov/assets/lpc/images/content/designations/1242.jpg
New York Times Building,originally the Times Annex,Office Building,"Commercial, office building",OB,"",Manhattan,Midtown/Midtown South,217-247 West 43rd Street,40.75745,-73.98765,Point,115,1322,1015,7501,1010157501,822.50085,29470.785,http://www1.nyc.gov/assets/lpc/images/content/designations/2091.jpg
"Young Men's Christian Association Building, Harlem Branch (now) Jackie Robinson YMCA Youth Center","",Institution,Institutional,"","",Manhattan,Harlem,181 West 135th Street,40.815235,-73.94278,Point,193,0,1920,7,1019200007,0.0,0.0,http://www1.nyc.gov/assets/lpc/images/content/designations/1848.jpg
First Free Congregational Church,"later the Bridge Street African Wesleyan Methodist Episcopal Church, now part of Polytechnic Institute of New York University, Wunsch Student Center",Church,"Religious, church, congregational","Religious, church, African Methodist Episcopal","",Brooklyn,"DUMBO, Vinegar Hill, Downtown Brooklyn, Boerum Hill",311 Bridge Street,40.694336,-73.984886,Point,381,847,2047,7,3020470007,357.99268,7782.4946,http://www1.nyc.gov/assets/lpc/images/content/designations/2004.jpg
"Brooklyn Public Library, Williamsburgh Branch","",Library,"Civic, library","","",Brooklyn,Williamsburg,240 Division Avenue,40.706955,-73.95758,Point,458,924,2189,1,3021890001,629.6266,19510.182,http://www1.nyc.gov/assets/lpc/images/content/designations/1995.jpg
